t,S,N,dN/dS,dN,dS,gene1,gene2,l,node,family,alignmentcoverage,alignmentidentity,alignmentlength,strippedalignmentlength,weightoutlierincluded,weightoutlierexcluded,node_averaged_dS_outlierincluded,node_averaged_dS_outlierexcluded
0.0049,435.5,815.5,0.001,0.0,0.0047,egu1000.fasta_00297,egu1000.fasta_00293,-1705.55311,4,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,1.0,1.0,0.0047,0.0047
1.5213,339.9,911.1,0.1981,0.2415,1.219,egu1000.fasta_00298,egu1000.fasta_00293,-2760.398235,0,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.16666666666666666,0.16666666666666666,1.2698500000000001,1.2698500000000001
1.5051,339.3,911.7,0.2009,0.2413,1.2012,egu1000.fasta_00298,egu1000.fasta_00297,-2759.575452,0,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.16666666666666666,0.16666666666666666,1.2698500000000001,1.2698500000000001
1.4477,328.2,922.8,0.2022,0.2371,1.1726,egu1000.fasta_00291,egu1000.fasta_00298,-2764.950643,0,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.16666666666666666,0.16666666666666666,1.2698500000000001,1.2698500000000001
1.5443,331.8,919.2,0.1822,0.235,1.29,egu1000.fasta_00295,egu1000.fasta_00298,-2766.536772,0,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.16666666666666666,0.16666666666666666,1.2698500000000001,1.2698500000000001
1.541,337.5,913.5,0.189,0.2381,1.2595,egu1000.fasta_00296,egu1000.fasta_00298,-2760.97166,0,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.16666666666666666,0.16666666666666666,1.2698500000000001,1.2698500000000001
1.7604,343.1,907.9,0.1696,0.2505,1.4768,egu1000.fasta_00292,egu1000.fasta_00298,-2783.326771,0,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.16666666666666666,0.16666666666666666,1.2698500000000001,1.2698500000000001
0.7609,338.5,912.5,0.2981,0.1549,0.5197,egu1000.fasta_00291,egu1000.fasta_00293,-2523.574504,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
0.766,338.5,912.5,0.2944,0.1549,0.5262,egu1000.fasta_00291,egu1000.fasta_00297,-2525.318873,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
0.7761,342.2,908.8,0.2803,0.152,0.5422,egu1000.fasta_00295,egu1000.fasta_00293,-2519.274967,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
0.7816,342.2,908.8,0.2768,0.1519,0.5489,egu1000.fasta_00295,egu1000.fasta_00297,-2520.968895,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
0.97,337.8,913.2,0.2121,0.1614,0.7611,egu1000.fasta_00296,egu1000.fasta_00291,-2579.49266,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
1.0193,342.6,908.4,0.1922,0.158,0.8219,egu1000.fasta_00296,egu1000.fasta_00295,-2575.271742,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
1.0015,335.9,915.1,0.201,0.1615,0.8035,egu1000.fasta_00292,egu1000.fasta_00291,-2589.14664,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
1.0137,338.5,912.5,0.1903,0.1571,0.8254,egu1000.fasta_00292,egu1000.fasta_00295,-2578.926085,1,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.125,0.125,0.6686125,0.6686125
0.0893,337.6,913.4,0.1789,0.0133,0.0743,egu1000.fasta_00295,egu1000.fasta_00291,-1876.210629,5,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,1.0,1.0,0.0743,0.0743
0.5358,352.5,898.5,0.1844,0.0795,0.4312,egu1000.fasta_00296,egu1000.fasta_00293,-2314.384636,2,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.25,0.25,0.4544,0.4544
0.5308,351.8,899.2,0.1865,0.0795,0.4261,egu1000.fasta_00296,egu1000.fasta_00297,-2312.377476,2,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.25,0.25,0.4544,0.4544
0.5905,353.8,897.2,0.1738,0.084,0.4831,egu1000.fasta_00292,egu1000.fasta_00293,-2341.812676,2,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.25,0.25,0.4544,0.4544
0.5847,353.0,898.0,0.1758,0.0839,0.4772,egu1000.fasta_00292,egu1000.fasta_00297,-2339.818022,2,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,0.25,0.25,0.4544,0.4544
0.1357,340.6,910.4,0.1228,0.0154,0.1251,egu1000.fasta_00292,egu1000.fasta_00296,-1930.593152,3,GF00000006,0.9065217391304348,0.5699440447641887,1380,1251,1.0,1.0,0.1251,0.1251
