gene1,gene2,family
egu1000.fasta_00348,egu1000.fasta_00339,GF00000001
egu1000.fasta_00348,egu1000.fasta_00341,GF00000001
egu1000.fasta_00348,egu1000.fasta_00314,GF00000001
egu1000.fasta_00348,egu1000.fasta_00343,GF00000001
egu1000.fasta_00348,egu1000.fasta_00379,GF00000001
egu1000.fasta_00348,egu1000.fasta_00381,GF00000001
egu1000.fasta_00348,egu1000.fasta_00313,GF00000001
egu1000.fasta_00348,egu1000.fasta_00374,GF00000001
egu1000.fasta_00348,egu1000.fasta_00347,GF00000001
egu1000.fasta_00348,egu1000.fasta_00346,GF00000001
egu1000.fasta_00348,egu1000.fasta_00345,GF00000001
egu1000.fasta_00348,egu1000.fasta_00373,GF00000001
egu1000.fasta_00348,egu1000.fasta_00342,GF00000001
egu1000.fasta_00339,egu1000.fasta_00341,GF00000001
egu1000.fasta_00339,egu1000.fasta_00314,GF00000001
egu1000.fasta_00339,egu1000.fasta_00343,GF00000001
egu1000.fasta_00339,egu1000.fasta_00379,GF00000001
egu1000.fasta_00339,egu1000.fasta_00381,GF00000001
egu1000.fasta_00339,egu1000.fasta_00313,GF00000001
egu1000.fasta_00339,egu1000.fasta_00374,GF00000001
egu1000.fasta_00339,egu1000.fasta_00347,GF00000001
egu1000.fasta_00339,egu1000.fasta_00346,GF00000001
egu1000.fasta_00339,egu1000.fasta_00345,GF00000001
egu1000.fasta_00339,egu1000.fasta_00373,GF00000001
egu1000.fasta_00339,egu1000.fasta_00342,GF00000001
egu1000.fasta_00341,egu1000.fasta_00314,GF00000001
egu1000.fasta_00341,egu1000.fasta_00343,GF00000001
egu1000.fasta_00341,egu1000.fasta_00379,GF00000001
egu1000.fasta_00341,egu1000.fasta_00381,GF00000001
egu1000.fasta_00341,egu1000.fasta_00313,GF00000001
egu1000.fasta_00341,egu1000.fasta_00374,GF00000001
egu1000.fasta_00341,egu1000.fasta_00347,GF00000001
egu1000.fasta_00341,egu1000.fasta_00346,GF00000001
egu1000.fasta_00341,egu1000.fasta_00345,GF00000001
egu1000.fasta_00341,egu1000.fasta_00373,GF00000001
egu1000.fasta_00341,egu1000.fasta_00342,GF00000001
egu1000.fasta_00314,egu1000.fasta_00343,GF00000001
egu1000.fasta_00314,egu1000.fasta_00379,GF00000001
egu1000.fasta_00314,egu1000.fasta_00381,GF00000001
egu1000.fasta_00314,egu1000.fasta_00313,GF00000001
egu1000.fasta_00314,egu1000.fasta_00374,GF00000001
egu1000.fasta_00314,egu1000.fasta_00347,GF00000001
egu1000.fasta_00314,egu1000.fasta_00346,GF00000001
egu1000.fasta_00314,egu1000.fasta_00345,GF00000001
egu1000.fasta_00314,egu1000.fasta_00373,GF00000001
egu1000.fasta_00314,egu1000.fasta_00342,GF00000001
egu1000.fasta_00343,egu1000.fasta_00379,GF00000001
egu1000.fasta_00343,egu1000.fasta_00381,GF00000001
egu1000.fasta_00343,egu1000.fasta_00313,GF00000001
egu1000.fasta_00343,egu1000.fasta_00374,GF00000001
egu1000.fasta_00343,egu1000.fasta_00347,GF00000001
egu1000.fasta_00343,egu1000.fasta_00346,GF00000001
egu1000.fasta_00343,egu1000.fasta_00345,GF00000001
egu1000.fasta_00343,egu1000.fasta_00373,GF00000001
egu1000.fasta_00343,egu1000.fasta_00342,GF00000001
egu1000.fasta_00379,egu1000.fasta_00381,GF00000001
egu1000.fasta_00379,egu1000.fasta_00313,GF00000001
egu1000.fasta_00379,egu1000.fasta_00374,GF00000001
egu1000.fasta_00379,egu1000.fasta_00347,GF00000001
egu1000.fasta_00379,egu1000.fasta_00346,GF00000001
egu1000.fasta_00379,egu1000.fasta_00345,GF00000001
egu1000.fasta_00379,egu1000.fasta_00373,GF00000001
egu1000.fasta_00379,egu1000.fasta_00342,GF00000001
egu1000.fasta_00381,egu1000.fasta_00313,GF00000001
egu1000.fasta_00381,egu1000.fasta_00374,GF00000001
egu1000.fasta_00381,egu1000.fasta_00347,GF00000001
egu1000.fasta_00381,egu1000.fasta_00346,GF00000001
egu1000.fasta_00381,egu1000.fasta_00345,GF00000001
egu1000.fasta_00381,egu1000.fasta_00373,GF00000001
egu1000.fasta_00381,egu1000.fasta_00342,GF00000001
egu1000.fasta_00313,egu1000.fasta_00374,GF00000001
egu1000.fasta_00313,egu1000.fasta_00347,GF00000001
egu1000.fasta_00313,egu1000.fasta_00346,GF00000001
egu1000.fasta_00313,egu1000.fasta_00345,GF00000001
egu1000.fasta_00313,egu1000.fasta_00373,GF00000001
egu1000.fasta_00313,egu1000.fasta_00342,GF00000001
egu1000.fasta_00374,egu1000.fasta_00347,GF00000001
egu1000.fasta_00374,egu1000.fasta_00346,GF00000001
egu1000.fasta_00374,egu1000.fasta_00345,GF00000001
egu1000.fasta_00374,egu1000.fasta_00373,GF00000001
egu1000.fasta_00374,egu1000.fasta_00342,GF00000001
egu1000.fasta_00347,egu1000.fasta_00346,GF00000001
egu1000.fasta_00347,egu1000.fasta_00345,GF00000001
egu1000.fasta_00347,egu1000.fasta_00373,GF00000001
egu1000.fasta_00347,egu1000.fasta_00342,GF00000001
egu1000.fasta_00346,egu1000.fasta_00345,GF00000001
egu1000.fasta_00346,egu1000.fasta_00373,GF00000001
egu1000.fasta_00346,egu1000.fasta_00342,GF00000001
egu1000.fasta_00345,egu1000.fasta_00373,GF00000001
egu1000.fasta_00345,egu1000.fasta_00342,GF00000001
egu1000.fasta_00373,egu1000.fasta_00342,GF00000001
