gene1,gene2,family
egu1000.fasta_00491,egu1000.fasta_00487,GF00000008
egu1000.fasta_00491,egu1000.fasta_00492,GF00000008
egu1000.fasta_00491,egu1000.fasta_00488,GF00000008
egu1000.fasta_00491,egu1000.fasta_00490,GF00000008
egu1000.fasta_00491,egu1000.fasta_00489,GF00000008
egu1000.fasta_00487,egu1000.fasta_00492,GF00000008
egu1000.fasta_00487,egu1000.fasta_00488,GF00000008
egu1000.fasta_00487,egu1000.fasta_00490,GF00000008
egu1000.fasta_00487,egu1000.fasta_00489,GF00000008
egu1000.fasta_00492,egu1000.fasta_00488,GF00000008
egu1000.fasta_00492,egu1000.fasta_00490,GF00000008
egu1000.fasta_00492,egu1000.fasta_00489,GF00000008
egu1000.fasta_00488,egu1000.fasta_00490,GF00000008
egu1000.fasta_00488,egu1000.fasta_00489,GF00000008
egu1000.fasta_00490,egu1000.fasta_00489,GF00000008
