t,S,N,dN/dS,dN,dS,gene1,gene2,l,node,family,alignmentcoverage,alignmentidentity,alignmentlength,strippedalignmentlength,weightoutlierincluded,weightoutlierexcluded,node_averaged_dS_outlierincluded,node_averaged_dS_outlierexcluded
1.5315,495.7,1319.3,0.1471,0.1976,1.3435,egu1000.fasta_00411,egu1000.fasta_00408,-3884.476369,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.1002,519.8,1295.2,0.1526,0.1416,0.9277,egu1000.fasta_00414,egu1000.fasta_00411,-3684.411042,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.4802,498.6,1316.4,0.1844,0.2227,1.208,egu1000.fasta_00413,egu1000.fasta_00408,-3938.443978,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.185,541.2,1273.8,0.164,0.1567,0.9558,egu1000.fasta_00413,egu1000.fasta_00414,-3709.591149,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.5873,501.0,1314.0,0.1588,0.2149,1.3531,egu1000.fasta_00410,egu1000.fasta_00408,-3937.587676,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.1937,520.8,1294.2,0.1556,0.1556,1.0001,egu1000.fasta_00410,egu1000.fasta_00414,-3740.812371,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.5208,492.5,1322.5,0.1525,0.2021,1.3252,egu1000.fasta_00412,egu1000.fasta_00408,-3890.212036,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.2082,514.9,1300.1,0.1468,0.152,1.0358,egu1000.fasta_00412,egu1000.fasta_00414,-3732.210026,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.4541,504.7,1310.3,0.1613,0.1981,1.2286,egu1000.fasta_00409,egu1000.fasta_00408,-3882.325994,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.2234,537.0,1278.0,0.142,0.1463,1.0301,egu1000.fasta_00409,egu1000.fasta_00414,-3709.838602,0,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.1,0.1,1.14079,1.14079
1.361,497.3,1317.7,0.1324,0.1623,1.2256,egu1000.fasta_00414,egu1000.fasta_00408,-3803.865094,1,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,1.0,1.0,1.2256,1.2256
0.4067,498.9,1316.1,0.3219,0.0859,0.2668,egu1000.fasta_00413,egu1000.fasta_00411,-3253.750697,5,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,1.0,1.0,0.2668,0.2668
0.6942,501.0,1314.0,0.3303,0.1484,0.4492,egu1000.fasta_00410,egu1000.fasta_00411,-3576.014475,3,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.41469999999999996,0.41469999999999996
0.668,507.3,1307.7,0.3901,0.1549,0.3972,egu1000.fasta_00410,egu1000.fasta_00413,-3562.192305,3,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.41469999999999996,0.41469999999999996
0.6858,489.1,1325.9,0.3476,0.1518,0.4367,egu1000.fasta_00412,egu1000.fasta_00411,-3574.027058,3,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.41469999999999996,0.41469999999999996
0.6458,496.0,1319.0,0.4124,0.1549,0.3757,egu1000.fasta_00412,egu1000.fasta_00413,-3546.371717,3,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.41469999999999996,0.41469999999999996
0.346,483.8,1331.2,0.3366,0.0756,0.2246,egu1000.fasta_00412,egu1000.fasta_00410,-3188.390899,4,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,1.0,1.0,0.2246,0.2246
0.6657,511.8,1303.2,0.3806,0.1521,0.3996,egu1000.fasta_00409,egu1000.fasta_00411,-3547.902592,2,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.4111,0.4111
0.6519,512.7,1302.3,0.4473,0.1611,0.3601,egu1000.fasta_00409,egu1000.fasta_00413,-3558.808702,2,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.4111,0.4111
0.7527,508.4,1306.6,0.368,0.1694,0.4604,egu1000.fasta_00409,egu1000.fasta_00410,-3645.533428,2,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.4111,0.4111
0.7141,495.8,1319.2,0.396,0.168,0.4243,egu1000.fasta_00409,egu1000.fasta_00412,-3623.689886,2,GF00000004,0.596646942800789,0.5074380165289256,3042,1815,0.25,0.25,0.4111,0.4111
